313,422456,-97298,63788,34037,-97298,63788,34037,0,0,0,0
314,423810,-96835,31260,66100,-96835,31260,66100,0,0,0,0
315,425164,-83070,-5722,89244,-83070,-5722,89244,0,0,0,0
316,426518,-57450,-42158,99921,-57450,-42158,99921,0,0,0,0
317,427872,-23242,-72192,95559,-23242,-72192,95559,0,0,0,0
318,429226,13847,-92135,78209,13847,-92135,78209,0,0,0,0
319,430580,48976,-99426,50179,48976,-99426,50179,0,0,0,0
320,431934,77555,-93098,15118,77555,-93098,15118,0,0,0,0
321,433288,95354,-73544,-22331,95354,-73544,-22331,0,0,0,0
322,434642,98795,-42979,-56356,98795,-42979,-56356,0,0,0,0
323,435996,88743,-6812,-82416,88743,-6812,-82416,0,0,0,0
324,437350,66556,30225,-97145,66556,30225,-97145,0,0,0,0
325,438704,35117,63296,-98607,35117,63296,-98607,0,0,0,0
326,440058,-1515,87632,-86110,-1515,87632,-86110,0,0,0,0
327,441412,-37850,98763,-60707,-37850,98763,-60707,0,0,0,0
328,442766,-68723,96339,-27243,-68723,96339,-27243,0,0,0,0
329,444120,-90131,80726,9895,-90131,80726,9895,0,0,0,0
330,445474,-99268,53946,45860,-99268,53946,45860,0,0,0,0
331,446828,-94399,19334,75577,-94399,19334,75577,0,0,0,0
332,448182,-75371,-18112,93892,-75371,-18112,93892,0,0,0,0
333,449536,-46227,-52780,99257,-46227,-52780,99257,0,0,0,0
334,450890,-10801,-80162,91019,-10801,-80162,91019,0,0,0,0
335,452244,26288,-96673,70239,26288,-96673,70239,0,0,0,0
336,453598,59908,-99592,39356,59908,-99592,39356,0,0,0,0
337,454952,84475,-87564,2627,84475,-87564,2627,0,0,0,0
338,456306,97324,-63702,-34154,97324,-63702,-34154,0,0,0,0
339,457660,96825,-31155,-66199,96825,-31155,-66199,0,0,0,0
340,459014,83024,5835,-89314,83024,5835,-89314,0,0,0,0
341,460368,57353,42253,-99920,57353,42253,-99920,0,0,0,0
342,461723,23133,72261,-95522,23133,72261,-95522,0,0,0,0
343,463077,-13956,92171,-78140,-13956,92171,-78140,0,0,0,0
344,464431,-49074,99426,-50086,-49074,99426,-50086,0,0,0,0
345,465785,-77630,93061,-15009,-77630,93061,-15009,0,0,0,0
346,467139,-95365,73446,22435,-95365,73446,22435,0,0,0,0
347,468493,-98768,42862,56443,-98768,42862,56443,0,0,0,0
348,469847,-88681,6686,82475,-88681,6686,82475,0,0,0,0
349,471201,-66464,-30346,97170,-66464,-30346,97170,0,0,0,0
350,472555,-35004,-63402,98594,-35004,-63402,98594,0,0,0,0
351,473909,1640,-87681,86030,1640,-87681,86030,0,0,0,0
352,475263,37964,-98775,60602,37964,-98775,60602,0,0,0,0
353,476617,68815,-96315,27122,68815,-96315,27122,0,0,0,0
354,477971,90193,-80666,-10020,90193,-80666,-10020,0,0,0,0
355,479325,99295,-53860,-45978,99295,-53860,-45978,0,0,0,0
356,480679,94353,-19222,-75648,94353,-19222,-75648,0,0,0,0
357,482033,75296,18221,-93930,75296,18221,-93930,0,0,0,0
358,483387,46130,52874,-99257,46130,52874,-99257,0,0,0,0
359,484741,10692,80231,-90983,10692,80231,-90983,0,0,0,0
360,486095,-26397,96710,-70170,-26397,96710,-70170,0,0,0,0
361,487449,-59983,99556,-39246,-59983,99556,-39246,0,0,0,0
362,488803,-84521,87494,-2514,-84521,87494,-2514,0,0,0,0
363,490157,-97335,63603,34259,-97335,63603,34259,0,0,0,0
364,491511,-96798,31038,66285,-96798,31038,66285,0,0,0,0
365,492865,-82962,-5959,89373,-82962,-5959,89373,0,0,0,0
366,494219,-57239,-42358,99907,-57239,-42358,99907,0,0,0,0
367,495573,-23008,-72341,95473,-23008,-72341,95473,0,0,0,0
368,496927,14081,-92220,78059,14081,-92220,78059,0,0,0,0
369,498281,49187,-99438,49980,49187,-99438,49980,0,0,0,0
370,499635,77722,-93037,14889,77722,-93037,14889,0,0,0,0
371,500989,95391,-73359,-22553,95391,-73359,-22553,0,0,0,0
372,502343,98758,-42756,-56541,98758,-42756,-56541,0,0,0,0
373,503697,88635,-6574,-82546,88635,-6574,-82546,0,0,0,0
374,505051,66388,30454,-97208,66388,30454,-97208,0,0,0,0
375,506405,34906,63496,-98594,34906,63496,-98594,0,0,0,0
376,507759,-1749,87717,-85961,-1749,87717,-85961,0,0,0,0
377,509113,-38061,98775,-60508,-38061,98775,-60508,0,0,0,0
378,510467,-68890,96277,-27012,-68890,96277,-27012,0,0,0,0
379,511821,-90239,80596,10132,-90239,80596,10132,0,0,0,0
380,513175,-99305,53761,46083,-99305,53761,46083,0,0,0,0
381,514529,-94292,19097,75707,-94292,19097,75707,0,0,0,0
382,515884,-75204,-18343,93954,-75204,-18343,93954,0,0,0,0
383,517238,-46016,-52980,99245,-46016,-52980,99245,0,0,0,0
384,518592,-10567,-80311,90934,-10567,-80311,90934,0,0,0,0
385,519946,26522,-96758,70089,26522,-96758,70089,0,0,0,0
386,521300,60075,-99530,39125,60075,-99530,39125,0,0,0,0
387,522654,84583,-87435,2390,84583,-87435,2390,0,0,0,0
388,524008,97361,-63517,-34376,97361,-63517,-34376,0,0,0,0
389,525362,96788,-30933,-66384,96788,-30933,-66384,0,0,0,0
390,526716,82916,6073,-89444,82916,6073,-89444,0,0,0,0
391,528070,57142,42452,-99907,57142,42452,-99908,0,0,0,0
392,529424,22899,72410,-95437,22899,72410,-95437,0,0,0,0
393,530778,-14190,92256,-77991,-14190,92256,-77991,0,0,0,0
394,532132,-49284,99438,-49887,-49284,99438,-49887,0,0,0,0
395,533486,-77798,92999,-14780,-77798,92999,-14780,0,0,0,0
396,534840,-95402,73261,22657,-95402,73261,22657,0,0,0,0
397,536194,-98731,42640,56628,-98731,42640,56628,0,0,0,0
398,537548,-88574,6449,82605,-88574,6449,82605,0,0,0,0
399,538902,-66297,-30575,97232,-66297,-30575,97232,0,0,0,0
400,540256,-34793,-63601,98582,-34793,-63601,98582,0,0,0,0
401,541610,1874,-87767,85880,1874,-87767,85880,0,0,0,0
402,542964,38175,-98787,60403,38175,-98787,60403,0,0,0,0
403,544318,68982,-96252,26892,68982,-96252,26892,0,0,0,0
404,545672,90301,-80537,-10257,90301,-80537,-10257,0,0,0,0
405,547026,99332,-53675,-46200,99332,-53675,-46200,0,0,0,0
406,548380,94246,-18984,-75777,94246,-18984,-75777,0,0,0,0
407,549734,75128,18451,-93991,75128,18451,-93991,0,0,0,0
408,551088,45919,53073,-99245,45919,53073,-99245,0,0,0,0
409,552442,10457,80381,-90898,10457,80381,-90898,0,0,0,0
410,553796,-26631,96795,-70021,-26631,96795,-70021,0,0,0,0
411,555150,-60151,99493,-39017,-60151,99493,-39017,0,0,0,0
412,556504,-84628,87364,-2276,-84628,87364,-2276,0,0,0,0
